Unnamed: 0,Name,Sys ID,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,record_id,is_merged,merged_from,canonical_company
114,"359 Solutions, LLC",C37489,"359 Solutions, LLC",359 solutions,,,,359 solutions;;,C37489,C37489,False,[],359 solutions
115,360 Security Services,C46519,360 Security Services,360 security services,,,,360 security services;;,C46519,C46519,False,[],360 security services
116,360 Solutions Group,C26786,360 Solutions Group,360 solutions group,,,,360 solutions group;;,C26786,C26786,False,[],360 solutions group
117,360 Tech Group,C36631,360 Tech Group,360 tech group,,,,360 tech group;;,C36631,C36631,False,[],360 tech group
118,360 Tech Hub Inc,C43001,360 Tech Hub Inc,360 tech hub,,,,360 tech hub;;,C43001;C47613,C43001,False,[],360 tech hub
120,360 TechBrokers,C36955,360 TechBrokers,360 techbrokers,,,,360 techbrokers;;,C36955,C36955,False,[],360 techbrokers
121,360IT,C43187,360IT,360it,,,,360it;;,C43187,C43187,False,[],360it
122,360IT Partners,C40844,360IT Partners,360it partners,,,,360it partners;;,C40844,C40844,False,[],360it partners
123,360ns,C51892,360ns,360ns,,,,360ns;;,C51892,C51892,False,[],360ns
124,360REV,C46794,360REV,360rev,,,,360rev;;,C46794,C46794,False,[],360rev
125,365 Managed IT,C21526,365 Managed IT,365 managed it,,,,365 managed it;;,C21526,C21526,False,[],365 managed it
126,"365 Operating Company LLC dba BroadbandOne, LLC",C44823,"365 Operating Company LLC dba BroadbandOne, LLC",365 operating company broadbandone,,,,365 operating company broadbandone;;,C44823,C44823,False,[],365 operating company broadbandone
127,365 Technologies LLC,D00006,365 Technologies LLC,365 technologies,,,,365 technologies;;,D00006,D00006,False,[],365 technologies
128,3B Networks LLC,C25765,3B Networks LLC,3b networks,,,,3b networks;;,C25765,C25765,False,[],3b networks
129,3B1C Networks,C34005,3B1C Networks,3b1c networks,,,,3b1c networks;;,C34005,C34005,False,[],3b1c networks
130,3C Cyber Security,C38027,3C Cyber Security,3c cyber security,,,,3c cyber security;;,C38027,C38027,False,[],3c cyber security
131,3C Technology Solutions,C39507,3C Technology Solutions,3c technology solutions,,,,3c technology solutions;;,C39507,C39507,False,[],3c technology solutions
132,3Cloud LLC,C39508,3Cloud LLC,3cloud,,,,3cloud;;,C39508,C39508,False,[],3cloud
133,3D Technology,C28024,3D Technology,3d technology,,,,3d technology;;,C28024,C28024,False,[],3d technology
134,"3D Tek, Inc.",C21527,"3D Tek, Inc.",3d tek,,,,3d tek;;,C21527,C21527,False,[],3d tek
