Name,Sys ID,record_id,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,reason
Tipton's Technology,C50354,C50354,Tipton's Technology,tipton s technology,,,,tipton s technology;;,C40408;C50354,duplicate company or domain
Titan Tech,C50356,C50356,Titan Tech,titan tech,,,,titan tech;;,C24027;C50356,duplicate company or domain
"Titan Technology Services, LLC",C39008,C39008,"Titan Technology Services, LLC",titan technology services,,,,titan technology services;;,C26876;C39008,duplicate company or domain
TJR Consulting LLC,C50357,C50357,TJR Consulting LLC,tjr consulting,,,,tjr consulting;;,C24486;C50357,duplicate company or domain
TlIC Worldwide Inc,C50359,C50359,TlIC Worldwide Inc,tlic worldwide,,,,tlic worldwide;;,C26543;C50359,duplicate company or domain
"TMGE, LLC",C50360,C50360,"TMGE, LLC",tmge,,,,tmge;;,C25349;C50360,duplicate company or domain
T-Mobile,C50361,C50361,T-Mobile,t-mobile,,,,t-mobile;;,C42738;C50361,duplicate company or domain
TNH Technology Corporation,C50362,C50362,TNH Technology Corporation,tnh technology,,,,tnh technology;;,C23528;C50362,duplicate company or domain
Tobin Solutions Inc,C40288,C40288,Tobin Solutions Inc,tobin solutions,,,,tobin solutions;;,C40288;C52068,duplicate company or domain
Tolleson Inc.,C50366,C50366,Tolleson Inc.,tolleson,,,,tolleson;;,C42383;C50366,duplicate company or domain
Toner Warehouse Direct,C50367,C50367,Toner Warehouse Direct,toner warehouse direct,,,,toner warehouse direct;;,C28003;C50367,duplicate company or domain
"Top Speed, LLC",C50370,C50370,"Top Speed, LLC",top speed,,,,top speed;;,C42165;C50370,duplicate company or domain
Topping Technologies,C50371,C50371,Topping Technologies,topping technologies,,,,topping technologies;;,C23546;C50371,duplicate company or domain
"Tornado Computer Systems, Inc.",C50372,C50372,"Tornado Computer Systems, Inc.",tornado computer systems,,,,tornado computer systems;;,C31737;C50372,duplicate company or domain
Toss Corporation,C50373,C50373,Toss Corporation,toss,,,,toss;;,C26556;C50373,duplicate company or domain
Total Communications,C50374,C50374,Total Communications,total communications,,,,total communications;;,C33066;C50374,duplicate company or domain
"Total Control Business Solutions, LLC",C50375,C50375,"Total Control Business Solutions, LLC",total control business solutions,,,,total control business solutions;;,C34281;C50375,duplicate company or domain
Total Reboot,C50376,C50376,Total Reboot,total reboot,,,,total reboot;;,C24375;C50376,duplicate company or domain
"Total Tech, Inc.",C32400,C32400,"Total Tech, Inc.",total tech,,,,total tech;;,C32400;C36839,duplicate company or domain
Total Technology Solutions LLC,C22614,C22614,Total Technology Solutions LLC,total technology solutions,,,,total technology solutions;;,C22614;C28396,duplicate company or domain
Towel Depot Inc,C50379,C50379,Towel Depot Inc,towel depot,,,,towel depot;;,C22618;C50379,duplicate company or domain
"TRACENET IT SOLUTIONS, LLC",C50381,C50381,"TRACENET IT SOLUTIONS, LLC",tracenet it solutions,,,,tracenet it solutions;;,C35409;C50381,duplicate company or domain
Tralution,C50382,C50382,Tralution,tralution,,,,tralution;;,C42631;C50382,duplicate company or domain
TranAct,C50383,C50383,TranAct,tranact,,,,tranact;;,C27197;C50383,duplicate company or domain
"Transaction Network Services, Inc",C50384,C50384,"Transaction Network Services, Inc",transaction network services,,,,transaction network services;;,C36261;C50384,duplicate company or domain
Transcendent LLC,C50385,C50385,Transcendent LLC,transcendent,,,,transcendent;;,C35921;C50385,duplicate company or domain
Transformyx,C50387,C50387,Transformyx,transformyx,,,,transformyx;;,C24891;C40293;C50387,duplicate company or domain
Transformyx LLC,C40293,C40293,Transformyx LLC,transformyx,,,,transformyx;;,C24891;C40293;C50387,duplicate company or domain
"Traverse City Consulting, LLC",C50388,C50388,"Traverse City Consulting, LLC",traverse city consulting,,,,traverse city consulting;;,C24252;C50388,duplicate company or domain
"Trend Consulting Services, INC.",C50389,C50389,"Trend Consulting Services, INC.",trend consulting services,,,,trend consulting services;;,C23989;C50389,duplicate company or domain
"TRGroup, Inc.",C50390,C50390,"TRGroup, Inc.",trgroup,,,,trgroup;;,C26118;C50390,duplicate company or domain
Tri-Cities IT,C50392,C50392,Tri-Cities IT,tri-cities it,,,,tri-cities it;;,C41006;C50392,duplicate company or domain
"Trident Contract Management, LLC",C50393,C50393,"Trident Contract Management, LLC",trident contract management,,,,trident contract management;;,C27107;C50393,duplicate company or domain
Trifecta Networks LLC,C23055,C23055,Trifecta Networks LLC,trifecta networks,,,,trifecta networks;;,C23055;C50394,duplicate company or domain
Trifutec,C50395,C50395,Trifutec,trifutec,,,,trifutec;;,C23602;C50395,duplicate company or domain
Tri-Metro Technologies,C50396,C50396,Tri-Metro Technologies,tri-metro technologies,,,,tri-metro technologies;;,C23573;C50396,duplicate company or domain
TriNet Technology Solutions,C50397,C50397,TriNet Technology Solutions,trinet technology solutions,,,,trinet technology solutions;;,C24710;C50397,duplicate company or domain
Triple Play IT Inc,C43276,C43276,Triple Play IT Inc,triple play it,,,,triple play it;;,C43276;C50399,duplicate company or domain
"Triplet Computers, LLC",C50400,C50400,"Triplet Computers, LLC",triplet computers,,,,triplet computers;;,C40474;C50400,duplicate company or domain
Tri-State Computer Solutions,C50401,C50401,Tri-State Computer Solutions,tri-state computer solutions,,,,tri-state computer solutions;;,C22626;C50401,duplicate company or domain
Tri-State Computer Wizards Inc.,C50402,C50402,Tri-State Computer Wizards Inc.,tri-state computer wizards,,,,tri-state computer wizards;;,C25514;C50402,duplicate company or domain
"Tristate IT, Inc.",C50403,C50403,"Tristate IT, Inc.",tristate it,,,,tristate it;;,C36929;C50403,duplicate company or domain
TriTech Corporation of America,C50404,C50404,TriTech Corporation of America,tritech of america,,,,tritech of america;;,C23389;C50404,duplicate company or domain
Trivium Technology LLC,D01303,D01303,Trivium Technology LLC,trivium technology,,,,trivium technology;;,D01302;D01303,duplicate company or domain
"Tru Technical Partners, Inc.",C50408,C50408,"Tru Technical Partners, Inc.",tru technical partners,,,,tru technical partners;;,C28419;C50408,duplicate company or domain
"True Blue Technology, LLC",C50410,C50410,"True Blue Technology, LLC",true blue technology,,,,true blue technology;;,C38661;C50410,duplicate company or domain
"True North Enterprises, LLC",C50411,C50411,"True North Enterprises, LLC",true north enterprises,,,,true north enterprises;;,C34472;C50411,duplicate company or domain
"Trufront Security, LLC",C44120,C44120,"Trufront Security, LLC",trufront security,,,,trufront security;;,C31340;C44120,duplicate company or domain
Trust Technologies LLC,D01306,D01306,Trust Technologies LLC,technologies,,,,technologies;;,C24341;C27806;C31574;C43697;C47468;D01306,duplicate company or domain
Trust Technology,C41452,C41452,Trust Technology,technology,,,,technology;;,C41452;C46224,duplicate company or domain
Trust Technology Solutions,C34984,C34984,Trust Technology Solutions,technology solutions,,,,technology solutions;;,C24631;C30971;C34984;C37783;C50254,duplicate company or domain
Trusted Tech Solutions,C50413,C50413,Trusted Tech Solutions,trusted tech solutions,,,,trusted tech solutions;;,C42777;C50413,duplicate company or domain
"TS Communication, LLC",C50416,C50416,"TS Communication, LLC",ts communication,,,,ts communication;;,C42177;C50416,duplicate company or domain
"Tsg, Inc.",C38246,C38246,"Tsg, Inc.",tsg,,,,tsg;;,C24788;C38246,duplicate company or domain
