record_id_1,record_id_2
C40276,C34357
C42875,C27760
C38768,C46552
C46900,C26559
C24553,C22016
C29928,C31891
C24171,C26848
C44398,C36866
C38237,C41762
C47238,C22946
C42693,C40650
C30449,C32867
C45849,C25931
C50319,C35982
C24507,C25700
C32346,C34027
C36421,C51745
C23049,C23515
D01272,C23535
C44601,C24766
C30053,C23612
C22585,C22103
C50321,C34779
C29866,C36682
C27372,C41427
C34072,D00730
D01273,C37563
C34979,C29305
C43184,C36996
C35245,C28091
C36825,C22141
C32088,C22143
C32380,C49201
C41550,C23981
C45239,C23173
C38802,C27620
C41451,C34922
C46459,C41428
D01274,C41960
C34187,C35143
C32279,C25218
C25313,C24991
C25907,C25285
C25621,C47572
C46263,C42360
C34980,C46256
C22586,C22195
C40757,C39467
C34054,C52085
C30621,C44123
C33087,C40019
C50324,C42582
C43091,C30264
C22587,C26373
C38238,C26842
C32893,C27175
C27565,C26341
C32297,C22253
C26461,C30960
C25408,C51110
C22589,C38560
C45366,C25904
C31652,C23767
C23370,C24978
D01275,C23930
C39207,C33208
C25647,C34502
C23709,C51361
C32471,D00956
C25845,C22330
C22590,D00081
D01276,D00735
C23907,C30345
C25757,C34063
C22763,C38492
C41005,C51302
C29747,C24680
C22591,C29847
C23050,C34213
C46901,C29865
C29613,C24858
C34050,D01004
C35475,C40145
C22642,D01051
C44193,C31268
C39208,C26914
D01277,C31559
C23940,C23813
C39209,C28051
C44602,C38929
C41569,C47269
C24918,C24905
C31601,C26216
C47143,C34600
C22592,C44579
C25709,C29389
C23051,D01097
C25360,C40754
D01278,C41570
C46591,C40842
C30575,C24819
C38648,C51894
C38239,C50817
C26124,C32601
C25332,C39059
C29863,C46196
C34403,C44387
C45225,C22338
C31657,C38293
C44112,C50119
C24985,C50133
C35771,C28796
C43060,C46012
C45927,D01198
C43990,C33241
C25231,C42288
C22593,C34450
C43865,C40247
C29938,D01234
D01279,C44001
C28970,C40248
C26998,C27000
C34350,C26878
C24938,C42915
C32473,C27868
C32086,C22556
C25050,C31810
