record_id_1,record_id_2,company_sim,company_clean_1,company_clean_2
C24807,D00501,0.905989663,first link technologies,first landing technologies
C32455,D00609,0.905454545,image soft,image quest
C45918,D00963,0.905454545,performive,performitus
D00147,C28301,0.9053467,beyondsoft consulting,beyondnet solutions
C22294,D00928,0.904761905,omni soft,omni it
C24554,D00457,0.904761905,envista,envisitek
C24924,D00928,0.904761905,omni soft,omni it
D00622,C30234,0.904761905,infosix,infosight
D00622,C48900,0.904761905,infosix,infosight
D00633,C25667,0.904761905,innovodel,innovex
D00928,C33208,0.904761905,omni it,omni data
C25105,D00642,0.90471464,integrated computer consultants,integrated communications plans
D00987,C40121,0.904408213,precision it group,precision it consulting
D01368,C40337,0.903735294,volo technology solutions,volo technologies
D01228,C43714,0.903612479,teamlogic it of orange county,teamlogic it of north naples
D00784,C27496,0.903333333,matrix software,matrix networks
D00988,C23856,0.903333333,precision tech pro,precision task group
D00988,C49730,0.903333333,precision tech pro,precision task group
C30921,D01004,0.902272727,provelocity,provecta
D01142,C43334,0.902272727,smart brain,smart av
D00387,C25077,0.902061192,digital services agency,digital service consultants
C38270,D01122,0.901984127,sharetech,sharenet
D00999,C33213,0.901839827,progressive technology solutions,progressive security technologies
D00644,C22050,0.901777778,integration professionals,integration partners
D00644,C39868,0.901777778,integration professionals,integration partners
D00395,C42767,0.901016043,disruptive solutions,disruptive innovations
C21940,D00516,0.900854701,fortifire,fortified one
C45553,D00547,0.900854701,globalconnect,globalcom
C49849,D01055,0.90075188,renaissance systems,renaissance institute
C26132,D00880,0.900714286,networking solutions,networking pulse
C34003,D00028,0.900512821,access point,access online
C48878,D00613,0.90037594,incite technology management,incite technologies
C46719,D00266,0.900242424,cmit solutions of greater danbury,cmit solutions of fremont
C22478,D01144,0.9,smart spaces group,smart source
C24575,D00957,0.9,consultants consortium,consultants
C26273,D00593,0.9,hotline,hotline heroes
C26415,D00984,0.9,power it,power industrial
C26556,D01293,0.9,toss,tosinso
C26742,D01155,0.9,softwyre,softwise
C27898,D00984,0.9,power it,power industrial
C37776,D00820,0.9,milwaukee,milwaukee it group
C41081,D01332,0.9,urban it,urban industries
C45054,D01416,0.9,your it guys,your it cure
C49673,D00593,0.9,hotline,hotline heroes
C50310,D00957,0.9,consultants consortium,consultants
C50373,D01293,0.9,toss,tosinso
D00257,C47520,0.9,cloudifi,cloudian
D00458,C44676,0.9,envoy,envoy data
D00997,C42572,0.9,procure it,procure advisor
D01305,C27345,0.9,tech,tech 2 u
D01384,C38788,0.9,wedoitbetter,wedoit
C22957,D00737,0.899803922,layer 3 technologies,layer 3 solutions
C46877,D01031,0.899803922,rackspace technology,rackspace hosting
D00737,C22956,0.899500891,layer 3 solutions,layer 3 communications
C26034,D00879,0.899465241,network solutions,network six
C30462,D00879,0.899465241,network solutions,network six
C40747,D00879,0.899465241,network solutions,network six
C49486,D00879,0.899465241,network solutions,network six
D00994,C26502,0.899465241,prioritytek,priority partners
C43172,D00281,0.899366516,commonwealth technology consulting,commonwealth it consulting
C26457,D00036,0.89847619,advanced computer technologies,advanced computer systems
D00377,C30570,0.898232323,deploy-tech,deploynet
D00669,C51298,0.898232323,it system,it symmetry
C44721,D00197,0.898095238,california technology services,california technical experts
C27460,D00265,0.897971014,cmit solutions of durango and farmington,cmit solutions of denton
D00290,C25915,0.897744361,computer aware,computer associates
D00447,C28621,0.896703297,encompass msp,encompass iowa
D01227,C36948,0.89616476,teamlogic it madison wi,teamlogic it grand rapids
D00287,C23534,0.896111801,complete technical solutions,complete tablet solutions
D01306,C36038,0.896,technologies,technologies for tomorrow
D00892,C35650,0.895938375,nexus controls,nexus consultants
D00892,C49520,0.895938375,nexus controls,nexus consultants
D01022,C32990,0.895833333,quantum services,quantum network services
C42387,D01126,0.895555556,shields it,shieldnet
C49988,D01126,0.895555556,shields it,shieldnet
D00172,C27466,0.895555556,breezeline,breeze it
D00342,C21814,0.895555556,cybersecom,cybersafe
D00619,C30541,0.895333333,infinity technology group,infinity technologies infinity computers
D00619,C48890,0.895333333,infinity technology group,infinity technologies infinity computers
C51425,D00990,0.894718615,premier technology systems pts,premier technology solutions
D00290,C29737,0.894642857,computer aware,computer atlanta
C47171,D00428,0.894541295,effective technology management,effective technology and communication services
D00627,C39858,0.894358974,inline networks,inline network integration
D00263,C24789,0.894126984,cmit solutions of cincinnati and nky,cmit solutions of chicagoland north
C38109,D00445,0.894117647,empowert,empower solutions
C30601,D00092,0.894047619,applied technology group,applied technology and cable
C32783,D00092,0.894047619,applied technology group,applied technology and cable
D01229,C44731,0.894,teamlogicit of carrollton,teamlogicit of austin tx
C44290,D01229,0.893846154,teamlogicit of new orleans,teamlogicit of carrollton
C23703,D00588,0.893809524,hill country it,hill country data protection
C45729,D00872,0.893796992,netsec technologies,netsec solutions
D00658,C22948,0.893538193,iron forge technologies,iron bow technologies
D00658,C45575,0.893538193,iron forge technologies,iron bow technologies
C23649,D00764,0.893333333,m and a technology,m and a it tech
C24484,D00864,0.893333333,netbringer,netbridge360
C35514,D01108,0.893333333,secureside,securescript
C44134,D00632,0.893333333,innovatica,innovateitio
C49442,D00864,0.893333333,netbringer,netbridge360
D00434,C48502,0.893333333,elegis telecom elegis networks,elegis telecom
D01244,C29142,0.893333333,techmicrousa,techmedics
C31960,D00810,0.89300671,micro computer systems microk12,micro computer center
D00906,C47262,0.892954545,north coast technology,north coast electric
D00778,C51301,0.892661064,martin tech solutions,martin consulting
D00265,C24033,0.892424242,cmit solutions of denton,cmit solutions of cleveland-south and hudson
D00528,C44967,0.892424242,frontline technologies,frontline it
D00267,C46719,0.892373005,cmit solutions of las vegas,cmit solutions of greater danbury
C29027,D00937,0.892307692,open systems,open systems international
C23544,D01165,0.891789474,southern technology group,southern technology and communications
D00278,C29437,0.891690009,colorado tech pros,colorado networks
C35801,D00203,0.891666667,capstone,capsec
D00288,C32919,0.891666667,compuone,compunet usa
D00880,C26804,0.891559829,networking pulse,networking matters
D01248,C38861,0.891515152,technology cure,technology contracting
C51431,D01107,0.891452991,securenet msp,securenet kinetics
D01159,C41371,0.891452991,solutionstack,solutions4networks
D01243,C42406,0.891428571,techbayusa,techary
D01108,C35684,0.891414141,securescript,securepoint
D01205,C43586,0.891111111,synapseone,synapse technology
D01169,C47208,0.890909091,spectrum av,spectruecom
C23560,D00268,0.890887021,cmit solutions of san antonio north,cmit solutions of portland central
C30177,D00287,0.890685177,complete technology resources,complete technical solutions
D00527,C27641,0.890497738,frontier networks,frontier computer
D00527,C39786,0.890497738,frontier networks,frontier computer
C44009,D00075,0.890277778,amplify services,amplifire
D01133,C35288,0.89000999,simply tech us,simply secure
D01029,C26133,0.89,r and d it solutions,r and d industries
D01029,C40410,0.89,r and d it solutions,r and d industries
D01107,C26312,0.89,securenet kinetics,securenet associates
D00744,C22139,0.889122807,lighthill solutions,lightedge solutions
D00341,C42368,0.888888889,cyberonyx security,cyberone
D00341,C47048,0.888888889,cyberonyx security,cyberone
